user_id,total_sessions,first_session,last_session,total_trips_booked,total_trips_canceled,total_flights_booked,avg_seats,avg_checked_bags,total_domestic_flights,total_international_flights,net_flight_spend_usd,avg_flight_spend_usd,total_flights_discounted,avg_flight_discount_used,total_hotels_booked,avg_nights,avg_rooms,net_hotel_spend_usd,avg_hotel_spend_usd,total_hotels_discounted,avg_hotel_discount_used,total_staycations,birthdate,gender,is_married,has_children,home_country,home_city,home_airport,sign_up_date,age,lifetime,trips_per_session,cancellation_ratio,pct_flights_per_trip,pct_domestic_flights,pct_international_flights,pct_discounted_flights,pct_hotels_per_trip,pct_discounted_hotels,pct_staycations,ltv_usd,recency_days,lifespan_days,frequency_trips_per_day,monetary_per_day,R_score,F_score,M_score,RFM_segment_label,trips_per_session_cat,pct_flights_per_trip_cat,pct_hotels_per_trip_cat,pct_domestic_flights_cat,pct_international_flights_cat,pct_discounted_flights_cat,pct_discounted_hotels_cat,avg_flight_discount_used_cat,avg_hotel_discount_used_cat,avg_nights_cat,avg_rooms_cat,avg_seats_cat,avg_checked_bags_cat,persona
23557,8,2023-01-04 19:30:00,2023-07-14 12:37:09.000000,2,0,0,,,0,0,0.0,,0,,2,10.0,1.5,3670.5,1016.25,1,0.175,1,1958-12-08,F,True,False,usa,new york,LGA,2021-07-22,64,2,0.25,0.0,0.0,,,,1.0,0.5,0.5,3670.5,14,190,0.010526315789473684,19.318421052631578,5,4,2,Potential,Mid-low,Low,Mid-low,,,,High,,High,High,High,,,Riley – Potential – Aspiring globetrotter
94883,7,2023-01-10 12:20:00,2023-05-28 17:28:23.000000,1,0,1,1.0,1.0,1,0,240.92,240.92,0,,1,1.0,1.0,130.0,130.0,0,0.1,0,1972-03-16,F,True,False,usa,kansas city,MCI,2022-02-07,51,1,0.14285714285714285,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,370.91999999999996,61,138,0.007246376811594203,2.6878260869565214,2,5,5,At Risk,Low,Mid-low,Mid-low,Low,Low,Low,Low,,Mid-low,Low,Low,Low,Mid-high,Leo – At Risk – Budget short-trip traveler
101486,8,2023-01-21 08:02:00,2023-07-18 09:35:22.000000,2,0,1,1.0,0.0,1,0,189.91,189.91,0,0.075,2,4.0,1.5,2199.0,739.5,0,,0,1972-12-07,F,True,True,usa,tacoma,TCM,2022-02-17,50,1,0.25,0.0,0.5,1.0,0.0,0.0,1.0,0.0,0.0,2388.91,10,178,0.011235955056179775,13.420842696629213,5,4,3,Potential,Mid-low,Low,Mid-low,Low,Low,Low,Low,Low,,Mid-high,High,Low,Low,Riley – Potential – Aspiring globetrotter
101961,8,2023-01-19 03:38:00,2023-06-22 13:30:01.000000,5,0,5,1.0,0.4,5,0,1237.693,247.5386,1,0.15,5,3.8,1.0,2429.0,485.8,0,0.1,0,1980-09-14,F,True,False,usa,boston,BOS,2022-02-17,42,1,0.625,0.0,1.0,1.0,0.0,0.2,1.0,0.0,0.0,3666.693,36,154,0.032467532467532464,23.809694805194805,3,1,2,Potential,High,Mid-low,Mid-low,Low,Low,Mid-high,Low,Mid-high,Mid-low,Mid-high,Low,Low,Mid-low,Riley – Potential – Aspiring globetrotter
106907,8,2023-01-10 17:24:00,2023-07-27 11:05:14.320529,1,1,1,6.0,5.0,0,1,0.0,13902.06,0,,1,11.0,3.0,0.0,1419.0,0,,0,1978-11-17,F,True,True,usa,miami,TNT,2022-02-24,44,1,0.125,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,197,0.0,0.0,5,5,5,Champions,Low,Mid-low,Mid-low,Low,High,Low,Low,,,High,High,High,High,Alex – Champion – Young global explorer
118043,8,2023-02-05 08:34:00,2023-07-15 02:07:00.000000,5,0,3,2.0,1.0,3,0,2339.29,779.7633333333333,0,0.2,4,5.5,1.25,5616.45,1355.6125,2,0.11666666666666667,0,1972-05-04,F,False,True,usa,los angeles,LAX,2022-03-10,51,1,0.625,0.0,0.6,1.0,0.0,0.0,0.8,0.5,0.0,7955.74,13,159,0.031446540880503145,50.03610062893082,5,1,1,Potential,High,Low,Low,Low,Low,Low,High,High,Mid-high,High,Mid-high,High,Mid-high,Riley – Potential – Aspiring globetrotter
120851,8,2023-01-04 19:49:00,2023-06-12 07:31:16.000000,1,0,1,1.0,0.0,1,0,384.68,384.68,0,0.225,1,11.0,1.0,2002.0,2002.0,0,,0,1972-09-25,F,True,True,usa,santa ana,SNA,2022-03-13,50,1,0.125,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2386.68,46,158,0.006329113924050633,15.105569620253164,2,5,3,At Risk,Low,Mid-low,Mid-low,Low,Low,Low,Low,High,,High,Low,Low,Low,Susan – At Risk – Seasoned bargain hunter
125845,9,2023-01-08 14:28:00,2023-07-20 13:15:22.000000,3,0,3,1.3333333333333333,0.6666666666666666,3,0,1646.763,548.921,1,0.15,3,1.6666666666666667,1.3333333333333333,689.0,164.33333333333334,0,0.05,0,1983-12-01,F,True,False,usa,el paso,BIF,2022-03-19,39,1,0.3333333333333333,0.0,1.0,1.0,0.0,0.3333333333333333,1.0,0.0,0.0,2335.763,8,192,0.015625,12.165432291666667,5,3,3,Potential,Mid-high,Mid-low,Mid-low,Low,Low,High,Low,Mid-high,Low,Low,Mid-high,Mid-high,Mid-high,Riley – Potential – Aspiring globetrotter
133058,8,2023-01-07 18:40:00,2023-07-16 20:27:39.000000,1,0,1,1.0,0.0,1,0,423.51,423.51,0,,0,,,0.0,,0,0.05,0,2005-04-07,F,False,False,usa,austin,AUS,2022-03-27,18,1,0.125,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,423.51,11,190,0.005263157894736842,2.229,5,5,5,Champions,Low,Mid-low,Low,Low,Low,Low,,,Low,,,Low,Low,Alex – Champion – Young global explorer
149058,7,2023-01-22 21:58:00,2023-06-19 16:57:59.000000,4,0,4,1.25,0.5,4,0,1457.3325,364.333125,1,0.05,4,6.25,1.25,5373.0,1256.25,0,,0,1973-01-22,F,False,True,usa,birmingham,BHM,2022-04-14,50,1,0.5714285714285714,0.0,1.0,1.0,0.0,0.25,1.0,0.0,0.0,6830.3325,39,147,0.027210884353741496,46.464846938775516,3,1,1,Potential,High,Mid-low,Mid-low,Low,Low,Mid-high,Low,Low,,High,Mid-high,Mid-high,Mid-low,Riley – Potential – Aspiring globetrotter
